label,signature,strategy_ids,panels,iterations,correct,total,accuracy,ci95_low,ci95_high,worst_family_accuracy,constraint_accuracy,logic_accuracy,sequence_accuracy,mean_calls,base_accuracy,base_oracle_accuracy,expanded_oracle_cases,expanded_oracle_accuracy,oracle_conversion,helpful_interventions,harmful_interventions,net_corrections,base_oracle_conversion,base_no_oracle_rescue,expanded_no_oracle_rescue
9-bank + 3 choose-only selector,"{""base_count"":9,""candidate_limit"":7,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""choose"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",choose-falsify-9x3-wide,1,6,6,12,0.5,0.2537815976337061,0.7462184023662939,0.5,0.5,0.5,0.5,12.0,0.3333333333333333,0.5833333333333334,0,,,2,0,2,0.8571428571428571,0.0,
15-bank + 3 parallel repair,"{""base_count"":15,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",repair-falsify-15x3,1,5,8,18,0.4444444444444444,0.24559518127005633,0.6628358435795723,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,18.0,0.16666666666666666,0.6666666666666666,0,,,6,1,5,0.5833333333333334,0.16666666666666666,
9-bank + 1 parallel repair,"{""base_count"":9,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":1,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",repair-falsify-9x1;repair-falsify-9x1-efficient,8,14;15;18;19;20;22;23;24,45,108,0.4166666666666667,0.32811500213080924,0.5109428911602836,0.25,0.4166666666666667,0.25,0.5833333333333334,10.0,0.14814814814814814,0.6203703703703703,108,0.6388888888888888,0.6521739130434783,32,3,29,0.6417910447761194,0.04878048780487805,0.0
5-bank + 3 choose-only selector,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""choose"",""review_style"":""rederive"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",choice-review-5x3,1,1,5,12,0.4166666666666667,0.19326031365875665,0.6804886874504503,0.25,0.25,0.5,0.5,8.0,0.08333333333333333,0.5,0,,,5,1,4,0.8333333333333334,0.0,
5-bank + 3 choose-only selector,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""choose"",""review_style"":""compare"",""review_trigger"":""no_strict_majority"",""show_frequencies"":false}",choose-compare-5x3,1,4,5,12,0.4166666666666667,0.19326031365875665,0.6804886874504503,0.25,0.75,0.25,0.25,7.5,0.25,0.4166666666666667,0,,,2,0,2,1.0,0.0,
5-bank + 3 parallel repair,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",repair-falsify-5x3-efficient;repair-review-5x3,27,1;2;3;4;6;7;9;10;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,146,354,0.4124293785310734,0.3623563994367218,0.4643825139236032,0.3644067796610169,0.3983050847457627,0.3644067796610169,0.4745762711864407,7.966101694915254,0.12429378531073447,0.4011299435028249,228,0.5307017543859649,0.768595041322314,107,5,102,0.8732394366197183,0.10377358490566038,0.0
9-bank + 3 parallel repair,"{""base_count"":9,""candidate_limit"":8,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",repair-falsify-9x3,1,10,7,18,0.3888888888888889,0.2030524657216362,0.613809583977621,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,12.0,0.2222222222222222,0.5,0,,,4,1,3,0.6666666666666666,0.1111111111111111,
9-bank + 3-step cross-examination,"{""base_count"":9,""candidate_limit"":8,""candidate_source"":""base_unique"",""final_rule"":""last_review_fallback_base"",""review_count"":3,""review_mode"":""cross_examine"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",cross-examine-9x3,1,10,7,18,0.3888888888888889,0.2030524657216362,0.613809583977621,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,12.0,0.2222222222222222,0.5,0,,,5,2,3,0.5555555555555556,0.2222222222222222,
9-bank + 3 parallel repair,"{""base_count"":9,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",repair-falsify-9x3,6,4;5;6;11;12;13,30,78,0.38461538461538464,0.28449042755668413,0.4955721439153607,0.3076923076923077,0.46153846153846156,0.3076923076923077,0.38461538461538464,12.0,0.16666666666666666,0.48717948717948717,0,,,18,1,17,0.7105263157894737,0.075,
9-bank + 1 choose-only selector,"{""base_count"":9,""candidate_limit"":8,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":1,""review_mode"":""choose"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",choose-falsify-9x1-full-bank,6,25;26;27;28;29;30,32,84,0.38095238095238093,0.2844714924548898,0.48784558573907677,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.42857142857142855,10.0,0.09523809523809523,0.5714285714285714,84,0.5714285714285714,0.6666666666666666,26,2,24,0.6666666666666666,0.0,0.0
9-bank + 3 choose-only selector,"{""base_count"":9,""candidate_limit"":8,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""choose"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",choose-falsify-9x3;choose-falsify-9x3-full-bank,4,8;24;25;26,20,54,0.37037037037037035,0.2542337519166028,0.5037253264773334,0.2222222222222222,0.3888888888888889,0.5,0.2222222222222222,12.0,0.1111111111111111,0.5,42,0.5476190476190477,0.782608695652174,14,0,14,0.7407407407407407,0.0,0.0
5-bank + 3 regenerators + integrator,"{""base_count"":5,""candidate_limit"":8,""candidate_source"":""base_unique"",""final_rule"":""generated_review_fallback_base"",""review_count"":4,""review_mode"":""regenerate_then_repair"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",regenerate-then-repair-5x3x1,13,16;17;18;19;20;21;22;23;24;25;26;27;28,61,168,0.3630952380952381,0.29419013824371176,0.4381212590425617,0.35714285714285715,0.375,0.35714285714285715,0.35714285714285715,8.952380952380953,0.13095238095238096,0.39285714285714285,168,0.5,0.6547619047619048,46,7,39,0.6363636363636364,0.18627450980392157,0.07142857142857142
5-bank + 3-step cross-examination,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""last_review_fallback_base"",""review_count"":3,""review_mode"":""cross_examine"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",cross-examine-falsify-5x3,8,12;13;17;19;21;23;29;30,36,102,0.35294117647058826,0.26707997479873313,0.4494772199502266,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.35294117647058826,7.9411764705882355,0.0784313725490196,0.38235294117647056,78,0.48717948717948717,0.7631578947368421,30,2,28,0.7948717948717948,0.07936507936507936,0.0
5-bank + 1 parallel repair,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":1,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",repair-falsify-5x1-efficient,16,9;10;11;12;13;14;15;16;17;18;20;21;27;28;29;30,74,216,0.3425925925925926,0.28254931746988016,0.4081368689993347,0.2777777777777778,0.2916666666666667,0.2777777777777778,0.4583333333333333,5.986111111111111,0.12037037037037036,0.36574074074074076,150,0.44,0.8181818181818182,55,7,48,0.759493670886076,0.10218978102189781,0.0
9-bank + 3 choose-only selector,"{""base_count"":9,""candidate_limit"":3,""candidate_source"":""committee_delegates"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""choose"",""review_style"":""compare"",""review_trigger"":""committee_disagreement"",""show_frequencies"":false}",committee-compare-9x3;committee-compare-9x3-fallback,2,6;8,8,24,0.3333333333333333,0.1797219032729775,0.5329368316186824,0.25,0.25,0.375,0.375,11.875,0.20833333333333334,0.4583333333333333,0,,,3,0,3,0.7272727272727273,0.0,
9-bank + 3 choose-only selector,"{""base_count"":9,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""choose"",""review_style"":""compare"",""review_trigger"":""no_strict_majority"",""show_frequencies"":false}",choose-compare-9x3-guarded,1,5,6,18,0.3333333333333333,0.1627877475083369,0.5625053270405489,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,11.833333333333334,0.16666666666666666,0.6111111111111112,0,,,3,0,3,0.5454545454545454,0.0,
9-bank + 3 parallel repair,"{""base_count"":9,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plus_base_plurality"",""review_count"":3,""review_mode"":""repair"",""review_style"":""rederive"",""review_trigger"":""no_strict_majority"",""show_frequencies"":false}",repair-rederive-9x3-delegate,1,5,6,18,0.3333333333333333,0.1627877475083369,0.5625053270405489,0.0,0.5,0.5,0.0,11.833333333333334,0.16666666666666666,0.6111111111111112,0,,,4,1,3,0.45454545454545453,0.14285714285714285,
7-bank + 3 parallel repair,"{""base_count"":7,""candidate_limit"":7,""candidate_source"":""base_unique"",""final_rule"":""review_plus_base_plurality"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""no_strict_majority"",""show_frequencies"":false}",repair-combined-7x3,1,2,4,12,0.3333333333333333,0.13812009109121315,0.6093779111272004,0.0,0.75,0.0,0.25,9.25,0.0,0.5,0,,,4,0,4,0.6666666666666666,0.0,
11-bank + 3 choose-only selector,"{""base_count"":11,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plus_base_plurality"",""review_count"":3,""review_mode"":""choose"",""review_style"":""falsify"",""review_trigger"":""no_strict_majority"",""show_frequencies"":true}",choice-falsify-combined-11x3,1,2,4,12,0.3333333333333333,0.13812009109121315,0.6093779111272004,0.0,0.75,0.0,0.25,13.5,0.08333333333333333,0.5,0,,,3,0,3,0.6666666666666666,0.0,
1-bank + 3 parallel repair,"{""base_count"":1,""candidate_limit"":2,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""rederive"",""review_trigger"":""always"",""show_frequencies"":false}",repair-rederive-1x3,1,3,4,12,0.3333333333333333,0.13812009109121315,0.6093779111272004,0.0,0.5,0.0,0.5,4.0,0.16666666666666666,0.16666666666666666,0,,,2,0,2,1.0,0.2,
5-bank + 3 parallel repair,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""no_strict_majority"",""show_frequencies"":false}",repair-falsify-5x3-majority-gated,1,7,4,12,0.3333333333333333,0.13812009109121315,0.6093779111272004,0.0,0.75,0.25,0.0,7.5,0.0,0.4166666666666667,0,,,4,0,4,0.6,0.14285714285714285,
9-bank + 3 choose-only selector,"{""base_count"":9,""candidate_limit"":3,""candidate_source"":""committee_delegates"",""final_rule"":""review_plus_base_plurality"",""review_count"":3,""review_mode"":""choose"",""review_style"":""falsify"",""review_trigger"":""committee_disagreement"",""show_frequencies"":false}",committee-delegate-falsify-9x3-fusion,1,22,4,12,0.3333333333333333,0.13812009109121315,0.6093779111272004,0.25,0.5,0.25,0.25,11.75,0.16666666666666666,0.5833333333333334,12,0.5833333333333334,0.5714285714285714,2,0,2,0.5714285714285714,0.0,0.0
5-bank + 3 parallel repair,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plus_base_plurality"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",repair-falsify-5x3-delegate-fusion;repair-fused-5x3,2,4;11,7,24,0.2916666666666667,0.14914648196960875,0.49167693664496637,0.125,0.5,0.25,0.125,8.0,0.20833333333333334,0.2916666666666667,0,,,3,1,2,0.7142857142857143,0.11764705882352941,
5-bank + 3 choose-only selector,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""choose"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",choose-falsify-5x3,2,7;8,6,24,0.25,0.11999366228595004,0.44899444005154004,0.25,0.25,0.25,0.25,8.0,0.0,0.25,0,,,6,0,6,1.0,0.0,
5-bank + 5 parallel repair,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":5,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",repair-falsify-5x5,1,3,3,12,0.25,0.08894166839405471,0.5323053349335657,0.0,0.25,0.0,0.5,10.0,0.16666666666666666,0.3333333333333333,0,,,1,0,1,0.75,0.0,
9-bank + 3 choose-only selector,"{""base_count"":9,""candidate_limit"":3,""candidate_source"":""committee_delegates"",""final_rule"":""review_plus_base_plurality"",""review_count"":3,""review_mode"":""choose"",""review_style"":""compare"",""review_trigger"":""committee_disagreement"",""show_frequencies"":false}",committee-compare-9x3-fusion,1,7,3,12,0.25,0.08894166839405471,0.5323053349335657,0.0,0.5,0.25,0.0,12.0,0.08333333333333333,0.6666666666666666,0,,,3,1,2,0.375,0.0,
9-bank + 3 parallel repair,"{""base_count"":9,""candidate_limit"":3,""candidate_source"":""committee_delegates"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""committee_disagreement"",""show_frequencies"":false}",committee-repair-9x3-fallback,1,9,3,12,0.25,0.08894166839405471,0.5323053349335657,0.0,0.25,0.0,0.5,11.5,0.0,0.5,0,,,3,0,3,0.3333333333333333,0.16666666666666666,
5-bank + 3 blind regenerators,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""augmented_plurality"",""review_count"":3,""review_mode"":""regenerate"",""review_style"":""rederive"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",regenerate-rederive-5x3,2,14;15,7,30,0.23333333333333334,0.11792388144489496,0.40928326158122164,0.0,0.3,0.4,0.0,8.0,0.16666666666666666,0.5,30,0.6,0.3888888888888889,3,1,2,0.4,0.06666666666666667,0.0
15-solver plurality,"{""base_count"":15,""candidate_limit"":2,""candidate_source"":""base_unique"",""final_rule"":""base_plurality"",""review_count"":0,""review_mode"":""none"",""review_style"":""verify"",""review_trigger"":""never"",""show_frequencies"":false}",plurality-15;plurality-15-replication,2,1;2,5,24,0.20833333333333334,0.09244825352851857,0.40470453253188665,0.125,0.375,0.125,0.125,15.0,0.20833333333333334,0.7083333333333334,0,,,0,0,0,0.29411764705882354,0.0,
9-solver plurality,"{""base_count"":9,""candidate_limit"":2,""candidate_source"":""base_unique"",""final_rule"":""base_plurality"",""review_count"":0,""review_mode"":""none"",""review_style"":""verify"",""review_trigger"":""never"",""show_frequencies"":false}",plurality-9,1,1,2,12,0.16666666666666666,0.04696514218385381,0.4480308622529734,0.0,0.25,0.0,0.25,9.0,0.16666666666666666,0.75,0,,,0,0,0,0.2222222222222222,0.0,
9-bank + 3 parallel repair,"{""base_count"":9,""candidate_limit"":8,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""no_strict_majority"",""show_frequencies"":false}",repair-falsify-9x3-majority,1,9,2,12,0.16666666666666666,0.04696514218385381,0.4480308622529734,0.0,0.25,0.0,0.25,11.5,0.0,0.5,0,,,2,0,2,0.3333333333333333,0.0,
9-bank + 1 parallel repair,"{""base_count"":9,""candidate_limit"":3,""candidate_source"":""committee_delegates"",""final_rule"":""review_plurality_fallback_base"",""review_count"":1,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""committee_disagreement"",""show_frequencies"":false}",committee-delegate-falsify-9x1,1,16,2,12,0.16666666666666666,0.04696514218385381,0.4480308622529734,0.0,0.25,0.0,0.25,9.75,0.08333333333333333,0.6666666666666666,12,0.6666666666666666,0.25,2,1,1,0.25,0.0,0.0
5-solver plurality,"{""base_count"":5,""candidate_limit"":2,""candidate_source"":""base_unique"",""final_rule"":""base_plurality"",""review_count"":0,""review_mode"":""none"",""review_style"":""verify"",""review_trigger"":""never"",""show_frequencies"":false}",plurality-5,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,48,396,0.12121212121212122,0.09265461134132788,0.1570480060790114,0.07575757575757576,0.15151515151515152,0.07575757575757576,0.13636363636363635,5.0,0.12121212121212122,0.3838383838383838,228,0.40350877192982454,0.31521739130434784,0,0,0,0.3157894736842105,0.0,0.0
Direct one-call baseline,"{""base_count"":1,""candidate_limit"":2,""candidate_source"":""base_unique"",""final_rule"":""base_plurality"",""review_count"":0,""review_mode"":""none"",""review_style"":""verify"",""review_trigger"":""never"",""show_frequencies"":false}",direct-1,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,37,396,0.09343434343434344,0.06854716402851097,0.12613364533598653,0.03787878787878788,0.07575757575757576,0.03787878787878788,0.16666666666666666,1.0,0.09343434343434344,0.09343434343434344,228,0.11403508771929824,1.0,0,0,0,1.0,0.0,0.0
5-bank + 3 parallel repair,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""rederive"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",repair-rederive-5x3,1,3,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,0.0,0.0,0.0,0.0,8.0,0.16666666666666666,0.3333333333333333,0,,,0,2,-2,0.0,0.0,
5-bank + 1 choose-only selector,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":1,""review_mode"":""choose"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",choose-falsify-5x1-efficient,1,8,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,0.0,0.0,0.0,0.0,6.0,0.0,0.08333333333333333,0,,,0,0,0,0.0,0.0,
5-bank + 1 parallel repair,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":1,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""no_strict_majority"",""show_frequencies"":false}",repair-falsify-5x1-majority-gated,1,11,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,0.0,0.0,0.0,0.0,5.833333333333333,0.16666666666666666,0.16666666666666666,0,,,0,2,-2,0.0,0.0,
